"코드","등록상태","보건소명","시·도","시·군·구","주소","전화번호","사업자번호","가입신청","승인","대기"
"GNA017","미등록","남해군보건소","경상남도","남해군","경남 남해군 남해읍 군청로 1","055-860-3700","","0","0","0"
"GNA018","미등록","하동군보건소","경상남도","하동군","경남 하동군 하동읍 군청로 1","055-880-6700","","0","0","0"
"JJU001","미등록","제주시보건소","제주특별자치도","제주시","제주 제주시 건입동 1258","064-728-4700","","0","0","0"
"JJU002","미등록","서귀포시보건소","제주특별자치도","서귀포시","제주 서귀포시 일주동로 8760","064-760-6000","","0","0","0"
"JJU003","미등록","제주시 동부보건소","제주특별자치도","제주시 동부","제주 제주시 조쳍에일로 1","064-728-4800","","0","0","0"
"JJU004","미등록","제주시 서부보건소","제주특별자치도","제주시 서부","제주 제주시 애월읍 애월로 1","064-728-4900","","0","0","0"
"JJU005","미등록","서귀포시 동부보건소","제주특별자치도","서귀포시 동부","제주 서귀포시 남원읍 남원로 1","064-760-6100","","0","0","0"
"JJU006","미등록","서귀포시 서부보건소","제주특별자치도","서귀포시 서부","제주 서귀포시 대정읍 대정로 1","064-760-6200","","0","0","0"
"CNB012","미등록","괴산군보건소","충청북도","괴산군","충북 괴산군 괴산읍 군청로 1","043-830-4700","","0","0","0"
"CNB013","미등록","음성군보건소","충청북도","음성군","충북 음성군 음성읍 군청로 1","043-871-4700","","0","0","0"
"CNB014","미등록","단양군보건소","충청북도","단양군","충북 단양군 단양읍 군청길 1","043-420-3700","","0","0","0"
"GGI032","미등록","김포시보건소","경기도","김포시","경기 김포시 사우중로 1","031-980-5000","","0","0","0"
"GGI033","미등록","화성시보건소","경기도","화성시","경기 화성시 남양읍 시청로 159","031-369-6700","","0","0","0"
"GGI034","미등록","광주시보건소","경기도","광주시","경기 광주시 행정타운로 50","031-760-4700","","0","0","0"
"GGI035","미등록","양주시보건소","경기도","양주시","경기 양주시 부흥로 1533","031-8082-6700","","0","0","0"
"GGI036","미등록","포천시보건소","경기도","포천시","경기 포천시 중앙로 87","031-538-4700","","0","0","0"
"GGI037","미등록","여주시보건소","경기도","여주시","경기 여주시 세종로 1","031-887-3700","","0","0","0"
"GGI038","미등록","연천군보건소","경기도","연천군","경기 연천군 연천읍 군청로 1","031-839-4700","","0","0","0"
"GGI039","미등록","가평군보건소","경기도","가평군","경기 가평군 가평읍 군청로 1","031-580-4700","","0","0","0"
"GGI040","미등록","양평군보건소","경기도","양평군","경기 양평군 양평읍 군청로 1","031-770-3700","","0","0","0"
"JNB015","미등록","부안군보건소","전북특별자치도","부안군","전북 부안군 부안읍 군청로 1","063-580-4700","","0","0","0"
"GNA019","미등록","산청군보건소","경상남도","산청군","경남 산청군 산청읍 군청로 1","055-970-7700","","0","0","0"
"GNA020","미등록","함양군보건소","경상남도","함양군","경남 함양군 함양읍 군청로 1","055-960-4700","","0","0","0"
"GNA021","미등록","거창군보건소","경상남도","거창군","경남 거창군 거창읍 군청로 1","055-940-4700","","0","0","0"
"GNA022","미등록","합천군보건소","경상남도","합천군","경남 합천군 합천읍 군청로 1","055-930-4700","","0","0","0"
"GNB024","미등록","울릉군보건소","경상북도","울릉군","경북 울릉군 울릉읍 도동2길 1","054-790-6700","","0","0","0"
"GGI041","미등록","용인시 기흥구보건소","경기도","용인시 기흥구","경기 용인시 기흥구 흥덕중앙로 120","031-324-8000","","0","0","0"
"GGI042","미등록","용인시 수지구보건소","경기도","용인시 수지구","경기 용인시 수지구 포은대로 435","031-324-9000","","0","0","0"
"GGI043","미등록","남양주동부보건소","경기도","남양주시 동부","경기 남양주시 화도읍 동부로 1","031-590-8000","","0","0","0"
"GGI044","미등록","남양주풍양보건소","경기도","남양주시 풍양","경기 남양주시 진접읍 진접로 1","031-590-4700","","0","0","0"
"GGI045","미등록","부천시 소사구보건소","경기도","부천시 소사구","경기 부천시 소사구 소사로 1","032-625-4200","","0","0","0"
"GGI046","미등록","부천시 오정구보건소","경기도","부천시 오정구","경기 부천시 오정구 오정로 1","032-625-4300","","0","0","0"
"GGI047","미등록","평택시송탄보건소","경기도","평택시 송탄","경기 평택시 송탄동 시청로 1","031-8024-7200","","0","0","0"
"GGI048","미등록","파주시 운정보건소","경기도","파주시 운정","경기 파주시 운정동 운정로 1","031-820-7300","","0","0","0"
"GGI049","미등록","화성시동탄구보건소","경기도","화성시 동탄구","경기 화성시 동탄동 동탄대로 1","031-5189-4300","","0","0","0"
